,precision,recall,f1-score,support
negative,0.06896551724137931,0.032,0.04371584699453552,250.0
positive,0.3697916666666667,0.568,0.4479495268138801,250.0
accuracy,0.3,0.3,0.3,0.3
macro avg,0.21937859195402298,0.3,0.24583268690420781,500.0
weighted avg,0.21937859195402298,0.3,0.24583268690420784,500.0
