,precision,recall,f1-score,support
negative,0.05194805194805195,0.048,0.0498960498960499,250.0
positive,0.11524163568773234,0.124,0.11946050096339114,250.0
accuracy,0.086,0.086,0.086,0.086
macro avg,0.08359484381789214,0.086,0.08467827542972052,500.0
weighted avg,0.08359484381789216,0.086,0.08467827542972052,500.0
