,precision,recall,f1-score,support
based,0.0,0.0,0.0,0.0
negative,0.30697674418604654,0.264,0.2838709677419355,250.0
positive,0.24,0.192,0.21333333333333335,250.0
the,0.0,0.0,0.0,0.0
accuracy,0.228,0.228,0.228,0.228
macro avg,0.13674418604651162,0.114,0.1243010752688172,500.0
weighted avg,0.27348837209302324,0.228,0.24860215053763443,500.0
