,precision,recall,f1-score,support
negative,0.2648809523809524,0.356,0.3037542662116041,250.0
positive,0.012345679012345678,0.008,0.009708737864077669,250.0
the,0.0,0.0,0.0,0.0
accuracy,0.182,0.182,0.182,0.182
macro avg,0.09240887713109935,0.12133333333333333,0.10448766802522726,500.0
weighted avg,0.13861331569664903,0.182,0.15673150203784086,500.0
